mes,pedidos,receita,itens,margem_abs,receita_bruta,desconto,margem_pct,desconto_pct,idx_pedidos,idx_receita,idx_itens,classificacao
Jan,1217,831256.72,4305.0,455781.61,893921.76,62665.04,54.83,7.01,62.4,62.5,62.8,VALE
Fev,1196,809943.68,4171.0,439892.02,878099.76,68156.08,54.31,7.76,61.4,60.9,60.8,VALE
Mar,2764,1970863.06,9824.0,1075107.13,2138258.45,167395.39,54.55,7.83,141.8,148.1,143.3,PICO
Abr,1357,955319.5,4902.0,519442.87,1036562.84,81243.34,54.37,7.84,69.6,71.8,71.5,VALE
Mai,3172,2129614.83,11127.0,1161882.31,2298467.72,168852.89,54.56,7.35,162.8,160.1,162.3,PICO
Jun,1351,936660.28,4810.0,514227.62,1010317.04,73656.76,54.9,7.29,69.3,70.4,70.2,VALE
Jul,1352,916218.56,4648.0,498003.79,997865.5,81646.94,54.35,8.18,69.4,68.9,67.8,VALE
Ago,1445,978135.04,5023.0,529634.19,1068508.31,90373.27,54.15,8.46,74.1,73.5,73.3,VALE
Set,1510,1036807.27,5263.0,565522.61,1121838.9,85031.63,54.54,7.58,77.5,77.9,76.8,VALE
Out,1503,1020083.72,5269.0,551902.02,1114734.05,94650.33,54.1,8.49,77.1,76.7,76.9,VALE
Nov,3641,2401459.88,12654.0,1277841.73,2653933.23,252473.35,53.21,9.51,186.8,180.5,184.6,PICO
Dez,2880,1979978.33,10278.0,1086374.1,2143698.62,163720.29,54.87,7.64,147.8,148.8,149.9,PICO
