order_id,customer_id,sku_id,data_pedido,canal,categoria,produto,quantidade,preco_unitario,receita_bruta,desconto_reais,receita_liquida,custo_produto,custo_frete,metodo_pagamento,status_pagamento,margem_contribuicao,tempo_entrega_real,devolvido,motivo_devolucao,desconto_pct,tem_desconto,desconto_acima_25,faixa_desconto,frete_gratis,mk_elegivel_nao_subsidiado,faixa_ticket,cmv_pct,frete_pct,desconto_sobre_bruta_pct,margem_pct,margem_negativa,ano,mes,ano_mes,margem_realizada,receita_realizada,idx_sazonal
ORD-036085,CLI-12360,SKU-04195,2023-01-01 00:05:25,TikTok Ads,Moda,Camisa Social Delicado Prata,6.0,326.77,1960.62,0.0,1960.62,773.1,0.0,Cartão de Crédito,Aprovado,1187.52,14.0,False,Não se aplica,0.0,False,False,0%,True,False,>1000,39.43140435168468,0.0,0.0,60.56859564831532,False,2023,1,2023-01,1187.52,1960.62,62.4
ORD-029209,CLI-12799,SKU-04144,2023-01-01 00:38:43,Orgânico,Lifestyle,Planta Artificial Sport Bege,1.0,225.27,225.27,0.0,225.27,111.21,34.56,Cartão de Crédito,Aprovado,79.5,13.0,False,Não se aplica,0.0,False,False,0%,False,False,200-250,49.36742575575975,15.341590091889731,0.0,35.29098415235051,False,2023,1,2023-01,79.5,225.27,62.4
ORD-047667,CLI-11830,SKU-01400,2023-01-01 01:11:54,Instagram Ads,Moda,Vestido Sustentável Verde,6.0,344.12,2064.72,0.0,2064.72,956.17,0.0,PIX,Aprovado,1108.55,12.0,False,Não se aplica,0.0,False,False,0%,True,False,>1000,46.30991127126197,0.0,0.0,53.69008872873804,False,2023,1,2023-01,1108.55,2064.72,62.4
ORD-026951,CLI-01729,SKU-00091,2023-01-01 01:19:10,Orgânico,Lifestyle,Espelho de Mesa Luxo Bege,5.0,135.37,676.85,0.0,676.85,203.11,0.0,Cartão de Crédito,Aprovado,473.74,11.0,False,Não se aplica,0.0,False,False,0%,True,False,500-1000,30.008125877225382,0.0,0.0,69.99187412277462,False,2023,1,2023-01,473.74,676.85,62.4
ORD-016561,CLI-01729,SKU-04953,2023-01-01 01:53:45,Instagram Ads,Lifestyle,Kit Chá Artesanal Bege,4.0,305.52,1222.08,0.0,1222.08,517.19,0.0,Cartão de Crédito,Aprovado,704.89,5.0,True,Arrependimento,0.0,False,False,0%,True,False,>1000,42.32047001832942,0.0,0.0,57.6795299816706,False,2023,1,2023-01,-517.19,0.0,62.4
ORD-042632,CLI-00583,SKU-03234,2023-01-01 01:56:39,TikTok Ads,Moda,Top Sport Vermelho,2.0,197.65,395.3,0.0,395.3,122.41,0.0,PIX,Aprovado,272.89,10.0,False,Não se aplica,0.0,False,False,0%,True,False,300-500,30.966354667341257,0.0,0.0,69.03364533265874,False,2023,1,2023-01,272.89,395.3,62.4
ORD-056344,CLI-11830,SKU-02202,2023-01-01 03:17:11,TikTok Ads,Beleza,Kit Skincare Oversize Rosa,4.0,151.62,606.48,0.0,606.48,297.53,0.0,PIX,Aprovado,308.95,12.0,False,Não se aplica,0.0,False,False,0%,True,False,500-1000,49.058501516950265,0.0,0.0,50.94149848304973,False,2023,1,2023-01,308.95,606.48,62.4
ORD-008126,CLI-07163,SKU-04186,2023-01-01 03:33:53,Marketplace,Beleza,Blush Delicado Verde,3.0,81.38,244.14,0.0,244.14,88.34,48.7,PIX,Aprovado,107.1,8.0,False,Não se aplica,0.0,False,False,0%,False,False,200-250,36.18415663144098,19.94757106578193,0.0,43.86827230277709,False,2023,1,2023-01,107.1,244.14,62.4
ORD-048261,CLI-11830,SKU-04959,2023-01-01 03:40:30,Marketplace,Moda,Vestido Edição Limitada Bege,2.0,388.04,776.08,298.93,477.15,290.97,19.27,PIX,Aprovado,166.91,17.0,True,Atraso na entrega,38.517936295227294,True,True,>30%,False,True,300-500,60.980823640364676,4.038562296971603,38.517936295227294,34.98061406266373,False,2023,1,2023-01,-310.24,0.0,62.4
ORD-009908,CLI-11830,SKU-01923,2023-01-01 03:50:55,Marketplace,Moda,Shorts Artesanal Verde,1.0,235.41,235.41,0.0,235.41,102.26,18.13,PIX,Aprovado,115.02,16.0,False,Não se aplica,0.0,False,False,0%,False,False,200-250,43.43910624017672,7.701457032411536,0.0,48.85943672741175,False,2023,1,2023-01,115.02,235.41,62.4
ORD-047228,CLI-11830,SKU-02537,2023-01-01 04:42:15,TikTok Ads,Lifestyle,Almofada Sustentável Bege,3.0,203.02,609.06,0.0,609.06,199.69,0.0,Boleto,Aprovado,409.37,9.0,False,Não se aplica,0.0,False,False,0%,True,False,500-1000,32.7865891701967,0.0,0.0,67.21341082980331,False,2023,1,2023-01,409.37,609.06,62.4
ORD-026864,CLI-11830,SKU-04232,2023-01-01 04:54:38,Email Marketing,Moda,Blusa de Tricô Urban Vermelho,6.0,155.06,930.36,0.0,930.36,407.29,0.0,PIX,Aprovado,523.07,8.0,False,Não se aplica,0.0,False,False,0%,True,False,500-1000,43.77767745818823,0.0,0.0,56.22232254181178,False,2023,1,2023-01,523.07,930.36,62.4
ORD-076865,CLI-09726,SKU-03968,2023-01-01 05:24:29,Instagram Ads,Beleza,Blush Básico Preto,1.0,137.78,137.78,0.0,137.78,42.27,19.14,Cartão de Crédito,Aprovado,76.37,8.0,False,Não se aplica,0.0,False,False,0%,False,False,100-200,30.6793438815503,13.89171142400929,0.0,55.42894469444042,False,2023,1,2023-01,76.37,137.78,62.4
ORD-075424,CLI-08001,SKU-00692,2023-01-01 05:29:33,Marketplace,Lifestyle,Espelho de Mesa Exclusivo Branco,6.0,247.73,1486.38,0.0,1486.38,554.07,20.24,Boleto,Aprovado,912.07,8.0,False,Não se aplica,0.0,False,False,0%,False,True,>1000,37.27647035078513,1.3616975470606438,0.0,61.361832102154224,False,2023,1,2023-01,912.07,1486.38,62.4
ORD-008507,CLI-01729,SKU-02129,2023-01-01 05:38:29,Instagram Ads,Beleza,Sombra Urban Vermelho,4.0,154.83,619.32,0.0,619.32,291.7,0.0,Cartão de Crédito,Aprovado,327.62,8.0,False,Não se aplica,0.0,False,False,0%,True,False,500-1000,47.10004521087644,0.0,0.0,52.89995478912355,False,2023,1,2023-01,327.62,619.32,62.4
ORD-009188,CLI-08289,SKU-04099,2023-01-01 07:05:37,Marketplace,Moda,Camiseta Slim Bege,2.0,290.68,581.36,0.0,581.36,284.68,56.61,Cartão de Crédito,Aprovado,240.07,18.0,False,Não se aplica,0.0,False,False,0%,False,True,500-1000,48.96793725058484,9.737512040732076,0.0,41.29455070868309,False,2023,1,2023-01,240.07,581.36,62.4
ORD-049533,CLI-09097,SKU-02516,2023-01-01 09:36:47,Influenciador,Beleza,Protetor Solar Oversize Verde,2.0,486.53,973.06,0.0,973.06,427.59,0.0,Cartão de Crédito,Aprovado,545.47,4.0,True,Produto com defeito,0.0,False,False,0%,True,False,500-1000,43.94281955891723,0.0,0.0,56.05718044108278,False,2023,1,2023-01,-427.59,0.0,62.4
ORD-025862,CLI-03910,SKU-02870,2023-01-01 09:39:25,Instagram Ads,Lifestyle,Kit Chá Moderno Dourado,6.0,532.75,3196.5,0.0,3196.5,1138.09,0.0,Cartão de Crédito,Aprovado,2058.41,10.0,False,Não se aplica,0.0,False,False,0%,True,False,>1000,35.60425465352729,0.0,0.0,64.3957453464727,False,2023,1,2023-01,2058.41,3196.5,62.4
ORD-015271,CLI-14211,SKU-03694,2023-01-01 09:55:43,Influenciador,Beleza,Kit Skincare Edição Limitada Nude,5.0,65.18,325.9,0.0,325.9,121.51,0.0,PIX,Aprovado,204.39,12.0,False,Não se aplica,0.0,False,False,0%,True,False,300-500,37.2844430806996,0.0,0.0,62.7155569193004,False,2023,1,2023-01,204.39,325.9,62.4
ORD-058426,CLI-01729,SKU-00169,2023-01-01 10:02:47,Instagram Ads,Beleza,Base Líquida Básico Azul,5.0,80.09,400.45,0.0,400.45,132.36,0.0,Boleto,Aprovado,268.09,6.0,False,Não se aplica,0.0,False,False,0%,True,False,300-500,33.05281558246973,0.0,0.0,66.94718441753027,False,2023,1,2023-01,268.09,400.45,62.4
ORD-072564,CLI-03910,SKU-00177,2023-01-01 10:03:15,Google Ads,Lifestyle,Espelho de Mesa Premium Verde,5.0,103.62,518.1,0.0,518.1,233.05,0.0,PIX,Aprovado,285.05,3.0,False,Não se aplica,0.0,False,False,0%,True,False,500-1000,44.98166377147269,0.0,0.0,55.01833622852731,False,2023,1,2023-01,285.05,518.1,62.4
ORD-030852,CLI-11830,SKU-04320,2023-01-01 10:33:42,Email Marketing,Beleza,Perfume Artesanal Verde,6.0,117.9,707.4,0.0,707.4,242.52,0.0,Cartão de Crédito,Aprovado,464.88,4.0,False,Não se aplica,0.0,False,False,0%,True,False,500-1000,34.2832909245123,0.0,0.0,65.7167090754877,False,2023,1,2023-01,464.88,707.4,62.4
ORD-027241,CLI-06160,SKU-00218,2023-01-01 11:01:30,Instagram Ads,Moda,Vestido Sport Preto,1.0,205.82,205.82,52.65,153.17,87.92,40.84,Cartão de Crédito,Aprovado,24.41,5.0,False,Não se aplica,25.580604411621806,True,True,25-30%,False,False,100-200,57.400274205131566,26.66318469674219,25.580604411621806,15.936541098126266,False,2023,1,2023-01,24.41,153.17,62.4
ORD-048906,CLI-04838,SKU-03577,2023-01-01 11:56:04,Marketplace,Lifestyle,Garrafa Térmica Premium Verde,2.0,46.95,93.9,0.0,93.9,41.7,58.99,PIX,Aprovado,-6.79,5.0,False,Não se aplica,0.0,False,False,0%,False,False,<100,44.40894568690096,62.822151224707135,0.0,-7.231096911608094,True,2023,1,2023-01,-6.79,93.9,62.4
ORD-079827,CLI-12742,SKU-03455,2023-01-01 12:44:52,Instagram Ads,Acessórios,Carteira Premium Vermelho,4.0,144.01,576.04,0.0,576.04,269.06,0.0,Cartão de Crédito,Aprovado,306.98,9.0,False,Não se aplica,0.0,False,False,0%,True,False,500-1000,46.70856190542324,0.0,0.0,53.29143809457677,False,2023,1,2023-01,306.98,576.04,62.4
ORD-033727,CLI-01729,SKU-01638,2023-01-01 13:35:21,Email Marketing,Beleza,Perfume Delicado Azul,2.0,282.69,565.38,204.34,361.04,192.75,0.0,PIX,Aprovado,168.29,12.0,True,Arrependimento,36.14206374473805,True,True,>30%,True,False,300-500,53.38743629514735,0.0,36.14206374473805,46.61256370485265,False,2023,1,2023-01,-192.75,0.0,62.4
ORD-004726,CLI-11830,SKU-01183,2023-01-01 13:44:59,Google Ads,Acessórios,Cinto Exclusivo Verde,1.0,178.88,178.88,0.0,178.88,63.88,15.44,PIX,Aprovado,99.56,14.0,False,Não se aplica,0.0,False,False,0%,False,False,100-200,35.71109123434705,8.631484794275492,0.0,55.65742397137746,False,2023,1,2023-01,99.56,178.88,62.4
ORD-007264,CLI-11830,SKU-01301,2023-01-01 13:47:14,Google Ads,Moda,Camiseta Oversize Nude,3.0,123.74,371.22,0.0,371.22,154.86,0.0,Cartão de Crédito,Aprovado,216.36,7.0,False,Não se aplica,0.0,False,False,0%,True,False,300-500,41.71650234362373,0.0,0.0,58.28349765637627,False,2023,1,2023-01,216.36,371.22,62.4
ORD-011884,CLI-11830,SKU-04457,2023-01-01 14:09:39,Marketplace,Beleza,Blush Artesanal Verde,5.0,547.15,2735.75,878.37,1857.38,1331.08,51.43,PIX,Aprovado,474.87,17.0,False,Não se aplica,32.10710042949831,True,True,>30%,False,True,>1000,71.66438747052298,2.7689541181664494,32.10710042949831,25.566658411310556,False,2023,1,2023-01,474.87,1857.38,62.4
ORD-051640,CLI-01729,SKU-02344,2023-01-01 15:32:05,Google Ads,Lifestyle,Garrafa Térmica Artesanal Vermelho,6.0,324.5,1947.0,670.22,1276.78,713.69,0.0,Cartão de Crédito,Aprovado,563.09,12.0,False,Não se aplica,34.42321520287622,True,True,>30%,True,False,>1000,55.897648772693806,0.0,34.42321520287622,44.102351227306194,False,2023,1,2023-01,563.09,1276.78,62.4
ORD-058025,CLI-11830,SKU-01922,2023-01-01 15:44:09,Orgânico,Beleza,Perfume Exclusivo Verde,4.0,310.88,1243.52,0.0,1243.52,490.13,0.0,Boleto,Aprovado,753.39,9.0,False,Não se aplica,0.0,False,False,0%,True,False,>1000,39.414725939269175,0.0,0.0,60.58527406073083,False,2023,1,2023-01,753.39,1243.52,62.4
ORD-034146,CLI-11830,SKU-04718,2023-01-01 15:59:55,Influenciador,Beleza,Óleo Corporal Artesanal Preto,2.0,233.77,467.54,0.0,467.54,187.39,0.0,Cartão de Crédito,Aprovado,280.15,4.0,True,Produto com defeito,0.0,False,False,0%,True,False,300-500,40.079993155665825,0.0,0.0,59.920006844334175,False,2023,1,2023-01,-187.39,0.0,62.4
ORD-077770,CLI-14211,SKU-00587,2023-01-01 16:02:09,TikTok Ads,Beleza,Batom Exclusivo Azul,2.0,114.89,229.78,76.99,152.79,101.44,28.77,Cartão de Crédito,Aprovado,22.58,11.0,False,Não se aplica,33.5059622247367,True,True,>30%,False,False,100-200,66.39177956672557,18.82976634596505,33.5059622247367,14.778454087309377,False,2023,1,2023-01,22.58,152.79,62.4
ORD-062320,CLI-01729,SKU-04068,2023-01-01 18:16:57,Marketplace,Acessórios,Óculos de Sol Sustentável Dourado,4.0,329.31,1317.24,0.0,1317.24,608.08,16.4,Boleto,Aprovado,692.76,17.0,False,Não se aplica,0.0,False,False,0%,False,True,>1000,46.16318969967509,1.245027481704169,0.0,52.59178281862075,False,2023,1,2023-01,692.76,1317.24,62.4
ORD-032020,CLI-10455,SKU-03214,2023-01-01 18:19:07,Instagram Ads,Lifestyle,Kit Chá Urban Preto,1.0,168.26,168.26,0.0,168.26,51.41,28.02,PIX,Aprovado,88.83,8.0,False,Não se aplica,0.0,False,False,0%,False,False,100-200,30.553904671341968,16.652799239272557,0.0,52.79329608938548,False,2023,1,2023-01,88.83,168.26,62.4
ORD-026009,CLI-11830,SKU-03614,2023-01-01 20:16:29,Google Ads,Acessórios,Colar Moderno Preto,4.0,229.23,916.92,0.0,916.92,311.26,0.0,Cartão de Crédito,Aprovado,605.66,5.0,False,Não se aplica,0.0,False,False,0%,True,False,500-1000,33.9462548532042,0.0,0.0,66.05374514679579,False,2023,1,2023-01,605.66,916.92,62.4
ORD-021946,CLI-11830,SKU-02770,2023-01-01 20:35:23,TikTok Ads,Moda,Blusa de Tricô Oversize Bege,3.0,54.77,164.31,0.0,164.31,81.27,41.06,Boleto,Aprovado,41.98,9.0,False,Não se aplica,0.0,False,False,0%,False,False,100-200,49.46138396932627,24.989349400523402,0.0,25.549266630150324,False,2023,1,2023-01,41.98,164.31,62.4
ORD-048400,CLI-01729,SKU-04737,2023-01-01 20:36:15,Orgânico,Moda,Vestido Luxo Prata,4.0,149.49,597.96,0.0,597.96,216.86,0.0,Cartão de Crédito,Aprovado,381.1,14.0,False,Não se aplica,0.0,False,False,0%,True,False,500-1000,36.266639909024015,0.0,0.0,63.733360090975985,False,2023,1,2023-01,381.1,597.96,62.4
ORD-002605,CLI-01729,SKU-04796,2023-01-01 21:17:21,Marketplace,Moda,Calça Jeans Sport Branco,2.0,240.47,480.94,126.63,354.31,180.14,59.6,Cartão de Crédito,Aprovado,114.57,8.0,False,Não se aplica,26.329687694930758,True,True,25-30%,False,True,300-500,50.842482571759184,16.821427563433154,26.329687694930758,32.336089864807654,False,2023,1,2023-01,114.57,354.31,62.4
ORD-004152,CLI-06351,SKU-00786,2023-01-01 21:22:02,Google Ads,Moda,Jaqueta Urban Branco,5.0,182.6,913.0,347.55,565.45,385.41,0.0,Cartão de Crédito,Aprovado,180.04,10.0,False,Não se aplica,38.06681270536693,True,True,>30%,True,False,500-1000,68.15987266778671,0.0,38.06681270536693,31.840127332213275,False,2023,1,2023-01,180.04,565.45,62.4
ORD-077986,CLI-01729,SKU-02618,2023-01-01 21:31:35,TikTok Ads,Acessórios,Meias Moderno Branco,5.0,538.36,2691.8,0.0,2691.8,960.89,0.0,PIX,Aprovado,1730.91,4.0,False,Não se aplica,0.0,False,False,0%,True,False,>1000,35.69693142135374,0.0,0.0,64.30306857864626,False,2023,1,2023-01,1730.91,2691.8,62.4
ORD-015715,CLI-11830,SKU-03989,2023-01-01 21:40:57,Google Ads,Beleza,Creme Hidratante Edição Limitada Preto,2.0,94.48,188.96,19.54,169.42,83.43,6.6,PIX,Aprovado,79.39,6.0,False,Não se aplica,10.340812870448772,True,False,10-20%,False,False,100-200,49.2444811710542,3.8956439617518592,10.340812870448772,46.85987486719396,False,2023,1,2023-01,79.39,169.42,62.4
ORD-022614,CLI-11830,SKU-04504,2023-01-01 22:16:11,Influenciador,Lifestyle,Caderno Luxo Prata,4.0,132.22,528.88,43.53,485.35,206.79,0.0,Cartão de Crédito,Aprovado,278.56,11.0,False,Não se aplica,8.230600514294357,True,False,0-10%,True,False,300-500,42.60636653961058,0.0,8.230600514294357,57.3936334603894,False,2023,1,2023-01,278.56,485.35,62.4
ORD-074233,CLI-11830,SKU-03674,2023-01-01 22:41:14,Influenciador,Lifestyle,Garrafa Térmica Luxo Vermelho,2.0,203.57,407.14,0.0,407.14,157.36,0.0,Cartão de Crédito,Aprovado,249.78,12.0,False,Não se aplica,0.0,False,False,0%,True,False,300-500,38.6500957901459,0.0,0.0,61.34990420985411,False,2023,1,2023-01,249.78,407.14,62.4
ORD-007008,CLI-11830,SKU-03401,2023-01-01 22:59:12,Orgânico,Lifestyle,Kit Chá Artesanal Branco,3.0,257.32,771.96,0.0,771.96,347.29,0.0,Cartão de Crédito,Aprovado,424.67,5.0,False,Não se aplica,0.0,False,False,0%,True,False,500-1000,44.98808228405617,0.0,0.0,55.011917715943824,False,2023,1,2023-01,424.67,771.96,62.4
ORD-044067,CLI-11830,SKU-04798,2023-01-01 23:14:06,TikTok Ads,Beleza,Condicionador Luxo Nude,2.0,223.95,447.9,0.0,447.9,222.71,0.0,Boleto,Aprovado,225.19,6.0,False,Não se aplica,0.0,False,False,0%,True,False,300-500,49.723152489394955,0.0,0.0,50.27684751060505,False,2023,1,2023-01,225.19,447.9,62.4
ORD-002903,CLI-11830,SKU-01152,2023-01-01 23:40:32,Marketplace,Lifestyle,Relógio de Parede Clássico Preto,6.0,78.29,469.74,80.94,388.8,167.52,7.44,Cartão de Crédito,Aprovado,213.84,18.0,False,Não se aplica,17.230808532379612,True,False,10-20%,False,True,300-500,43.08641975308642,1.9135802469135803,17.230808532379612,55.00000000000001,False,2023,1,2023-01,213.84,388.8,62.4
